id	filename	md5	size	state
7e5d07eb-dbc5-4b86-96e3-d4e8f880b68e	TCGA-AG-3605-01Z-00-DX1.27c26401-3e5b-484d-946d-0f508b979572.svs	d63c56bbb36606c81432067efd5f9a55	334658896	released
b3a449cf-016b-4155-bb94-35b01605513e	TCGA-F5-6571-01Z-00-DX1.2de5bae1-22da-460a-bb94-c4f74d92300e.svs	314b5fb3a330df71a138e0cfe2251541	793291651	released
a8217567-1d91-4966-a9f8-b9d74488a4bd	TCGA-AG-3902-01Z-00-DX1.f08b9bcd-7cd8-4480-bed9-bf28f55172fd.svs	7ade7a25839726164626be0880fcc172	344380848	released
e2ceace7-0a59-4873-bef1-cb4d7d92fe55	TCGA-AG-3582-01Z-00-DX1.2e248185-2230-479d-806e-d6687dcb70c3.svs	ed37c7bb1c6f4bfd1ac2fbb925467df3	247211634	released
e4125f97-b1c5-4152-93eb-820041fd88c9	TCGA-AG-3612-01Z-00-DX1.4d866e62-3135-4562-83e1-3629a5c2a744.svs	fa03ab1e9ad0e7c3968e2a40b16fefc6	375731556	released
7cb5e2c2-76b5-440a-8dfc-380f9d422a6b	TCGA-AG-A026-01Z-00-DX1.865CB417-28D7-4687-A04B-13D4067D7F6E.svs	0ec13ea539735de7f1b31f00d90d1215	656645186	released
82c5f12b-1a92-4d33-8f5d-7a703bcd4ef9	TCGA-AG-3591-01Z-00-DX1.C06D77F2-D55E-433E-A84D-41E6273C8C61.svs	6d2a411e9042aad844ddb4707722227b	7995752	released
34d74685-715e-40d8-a472-6eccef0b4a0f	TCGA-DC-6683-01Z-00-DX1.e1324f2d-db88-4416-adff-fffd9b361326.svs	b0c28697ffd90df15466e21accf8a954	806388993	released
92c8a9e2-6ad5-4c1b-b18d-d6f43332e4dd	TCGA-EI-6917-01Z-00-DX1.ed5d8898-159f-48e5-b004-e390cb059944.svs	f8f01a1908499f30a0078ae9b752ebe9	150416807	released
6e588e95-8f1b-432b-8545-a11ca25f37ac	TCGA-AG-A011-01Z-00-DX1.155A4093-5EC6-4D38-8CE1-24C045DF0CD8.svs	ea87790aa4d3b3697dc3d3f8d591fd93	511320876	released
43264444-d202-4623-8142-a375b7686faf	TCGA-DC-6154-01Z-00-DX1.ea40ea43-062b-40e0-a572-90736551b355.svs	5b4cd172db1a09e51d981933933c14cd	545771727	released
